SDET用例ID,不可自动化原因,是否可自动化,期望结果,测试步骤,测试点描述,用例名称,用例描述,用例编号,目录分类,脚本名称,自动化关键步骤,预置条件
,前端输入校验：提前短信通知时间输入框前端校验行为，不适合API自动化,否,"1.进入配置组
2.开启""启用定期修改密码“按钮成功
3.输入参数5成功，选择返回认证失败成功
4.开启”提前短信通知“按钮成功，展示默认内容”请输入，默认1“
5.输入参数清空失败，保存失败，请输入提前短信通知时间
6.输入参数“-1”失败，自动返回1
7.输入参数“2.2”失败，自动返回2
8.输入参数“？”失败，输入框被清空","1.点击“802.1x认证用户进行密码校验和强制措施”配置组
2.开启""启用定期修改密码“按钮
3.”定期修改周期“输入框输入参数5，选择返回认证失败
4.开启”提前短信通知“按钮
5.“提前短信通知时间”输入框清空，点击保存
6.“提前短信通知时间”输入框输入参数“-1”
7.“提前短信通知时间”输入框输入参数“2.2”
8.“提前短信通知时间”输入框输入参数“？”",提前短信通知时间输入参数校验,“提前短信通知时间”输入框校验,输入参数类型校验,RG-UNC-dot1x密码复杂度-TP-011,dot1x密码复杂度/密码安全管理页面-参数校验,不可自动化-前端输入框参数校验行为,1. 前端输入框边界值/格式校验，属于前端行为，不适合API自动化,"开启""启用定期修改密码“按钮"
,纯UI展示校验：消息配置页面展示新增配置组属于前端渲染，不适合API自动化,否,1.展示新增配置组“802.1x密码校验短信通知配置”，在访客短信配置下方新增，密码安全通知场景悬浮提示：前提在“认证管理-认证高级配置-密码安全管理”中，对于“802.1x认证用户进行密码校验和强制措施”开启以下对应场景时，才会按照用户端通知信息进行发送。,1.策略-认证系统管理-消息配置-短信服务,802.1x密码校验短信通知配置展示,新增配置组“802.1x密码校验短信通知配置”展示,访客短信配置下方新增，密码安全通知场景悬浮提示,RG-UNC-dot1x密码复杂度-TP-012,dot1x密码复杂度/密码安全管理页面-UI展示,不可自动化-消息配置页面新增配置组UI展示检查,1. 纯页面UI展示校验，不适合API自动化（需要UI自动化框架）,进入认证系统管理-消息配置
,纯UI展示校验：消息配置页面展示新增配置组属于前端渲染，不适合API自动化,否,"1.配置新增密码安全通知场景（在最左边第一列）：首次登入用户强制修改密码、对未通过密码强度检测的用户进行强制处理、定期修改密码
2.基础配置启用服务后，配置新增短信网关（在中间一列对应三个场景）：下拉框单选，可以选择配置好的网关，选择短信网关AAA成功，选择短信网关BBB成功
3.配置新增短信通知信息（在右边一列对应三个场景），三个场景选择短信网关均成功，默认有展示内容","1.策略-认证系统管理-消息配置-短信服务
2..策略-认证系统管理-消息配置-短信服务-基础配置启用服务-选择短信网关AAA，选择短信网关BBB
3.策略-认证系统管理-消息配置-短信服务，分别针对三个场景均选择短信网关AAA",802.1x密码校验短信通知配置展示,新增配置组“802.1x密码校验短信通知配置”展示,配置新增密码安全通知场景（在最左边第一列），配置新增短信网关（在中间一列对应三个场景）：下拉框单选，可以选择配置好的网关，配置新增短信通知信息（在右边一列对应三个场景），选择短信网关，默认有展示内容,RG-UNC-dot1x密码复杂度-TP-013,dot1x密码复杂度/密码安全管理页面-UI展示,不可自动化-消息配置页面新增配置组UI展示检查,1. 纯页面UI展示校验，不适合API自动化（需要UI自动化框架）,进入认证系统管理-消息配置
,纯UI展示校验：消息配置页面展示新增配置组属于前端渲染，不适合API自动化,否,"1.配置新增短信通知信息（在右边一列对应三个场景）
2.选择短信网关AAA成功，默认展示“您当前使用的初始默认密码，请登入XXX重新设置密码”，清空内容成功，保存时提示请输入短信通知信息
3.选择短信网关AAA成功，默认展示“您的密码不符合安全规范，请登入XXX重新设置密码”，清空内容成功，保存时提示您有信息内容未配置
4.选择短信网关AAA成功，默认展示“您的密码即将过期或者已经过期，请登入XXX重新设置密码”，清空内容成功。保存时提示您有信息内容未配置","1.策略-认证系统管理-消息配置-短信服务
2.针对“首次登入用户强制修改密码“场景均选择短信网关AAA，清空短信内容，点击保存
3.针对“对未通过密码强度检测的用户进行强制处理”场景均选择短信网关AAA，清空短信内容，点击保存
4..针对“定期修改密码”场景均选择短信网关AAA，清空短信内容，点击保存",802.1x密码校验短信通知配置展示,新增配置“首次登入用户强制修改密码-短信通知信息”展示及清空内容,短信通知清空内容成功，保存时提示您有信息内容未配置,RG-UNC-dot1x密码复杂度-TP-014,dot1x密码复杂度/密码安全管理页面-UI展示,不可自动化-消息配置页面新增配置组UI展示检查,1. 纯页面UI展示校验，不适合API自动化（需要UI自动化框架）,"进入认证系统管理-消息配置
选择短信网关"
,纯UI展示校验：消息配置页面展示新增配置组属于前端渲染，不适合API自动化,否,"1.配置新增短信通知信息（在右边一列对应三个场景）
2.选择短信网关AAA成功
3.选择短信网关AAA成功
4.选择短信网关AAA成功
5.修改模板成功
6.关闭基础服务成功
7.再次打开基础服务上次修改内容可以正常展示","1.策略-认证系统管理-消息配置-短信服务
2.针对“首次登入用户强制修改密码“场景均选择短信网关AAA
3.针对“对未通过密码强度检测的用户进行强制处理”场景均选择短信网关AAA
4.针对“定期修改密码”场景均选择短信网关AAA
5.修改“首次登入用户强制修改密码”的短信模板，删除后半句，点击保存
6.关闭基础服务
7.再次打开基础服务",802.1x密码校验短信通知配置展示,关闭基础配置后再打开,802.1x密码校验短信通知配置无变化,RG-UNC-dot1x密码复杂度-TP-015,dot1x密码复杂度/密码安全管理页面-UI展示,不可自动化-消息配置页面新增配置组UI展示检查,1. 纯页面UI展示校验，不适合API自动化（需要UI自动化框架）,"进入认证系统管理-消息配置
选择短信网关"
67000,,是,"1.用户1x有线认证失败，
---用户收到首次登录需修改密码的短信，
2.在认证失败日志看到用户认证失败原因为：用户首次登录需修改密码
    结果实现的一些具体效果？","1.用户1x有线首次登录认证，密码为Rui12345？
2.查看认证失败日志",配置组三个按钮开启/关闭的组合-首次用户登录,首次登录+符合密码策略+开启首次登录用户强制修改密码（返回认证失败+短信通知）+开启对未通过密码强度检测的用户进行强制处理（返回认证失败+短信通知）+开启定时强制修改密码（返回认证失败+短信通知）+开启提前短信通知(在定时期间未达提醒时间）,"1、用户1X有线首次登录，符合密码策略，定时强制修改密码常开(在定时期间未达提醒时间）
2、收到首次登录需修改密码的短信",RG-UNC-dot1x密码复杂度-TP-016,dot1x密码复杂度/认证组合-首次登录,首次登录-符合策略-首次登录强制开+强度检测强制开+定时强制开-调用配置接口设策略-触发1x认证-断言认证失败-用户首次登录需修改密码,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，开启「首次登录用户强制修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
4. 调用密码安全管理配置接口，开启「对未通过密码强度检测的用户进行强制处理」按钮，强制处理方式设为""返回认证失败+短信通知""
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
6. 调用用户管理接口，创建测试用户并设置符合密码策略的密码（如 Rui12345?，含大写+小写+数字+特殊字符）
7. 调用模拟认证接口，触发用户首次1x有线认证
8. 调用认证日志查询接口，断言认证失败
9. 调用认证失败日志查询接口，断言失败原因包含「用户首次登录需修改密码」
10. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，特殊字符
2、开启首次登录用户强制修改密码、开启未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知
3.针对”首次登录用户强制修改密码“选择”返回认证失败+短信通知“
--针对”对未通过密码强度检测的用户进行强制处理”返回认证失败+短信通知“
--针对”定时强制修改密码”返回认证失败+短信通知“
4.针对”首次登录用户强制修改密码“已配置好对应的网关和短信模板
--针对”对未通过密码强度检测的用户进行强制处理”已配置好对应的网关和短信模板“
--针对”定时强制修改密码”已配置好对应的网关和短信模板“"
67001,,是,"1.用户1x有线认证失败，
---用户无法收到任何短信
2.在认证失败日志看到用户认证失败原因为：用户首次登录需修改密码","1.用户1x有线首次登录认证，密码为Rui12345
2.查看认证失败日志",配置组三个按钮开启/关闭的组合-首次用户登录,首次登录+不符合密码策略+开启首次登录用户强制修改密码(返回认证失败+短信通知、未获取到用户手机号）+开启对未通过密码强度检测的用户进行强制处理（返回认证失败+短信通知）+开启定时强制修改密码（返回认证失败+短信通知）+开启提前短信通知(在定时期间未达提醒时间）,"1、用户1X有线首次登录，不符合密码策略，定时强制修改密码常开(在定时期间未达提醒时间）
2、无法收到所有的短信",RG-UNC-dot1x密码复杂度-TP-017,dot1x密码复杂度/认证组合-首次登录,首次登录-不符合策略-首次登录强制开+强度检测强制开+定时强制开-调用配置接口设策略-触发1x认证-断言认证失败-用户首次登录需修改密码,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，开启「首次登录用户强制修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""（注：短信网关/模板可能未配置）
4. 调用密码安全管理配置接口，开启「对未通过密码强度检测的用户进行强制处理」按钮，强制处理方式设为""返回认证失败""
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败""
6. 调用用户管理接口，创建测试用户并设置不符合密码策略的密码（如 rui12345，不含大写字母和特殊字符）
7. 调用模拟认证接口，触发用户首次1x有线认证
8. 调用认证日志查询接口，断言认证失败
9. 调用认证失败日志查询接口，断言失败原因包含「用户首次登录需修改密码」
10. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，特殊字符
2、开启首次登录用户强制修改密码、开启未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知
3.针对”首次登录用户强制修改密码“选择”返回认证失败+短信通知“
--针对”对未通过密码强度检测的用户进行强制处理”返回认证失败+短信通知“
--针对”定时强制修改密码”返回认证失败+短信通知“
4.针对”首次登录用户强制修改密码“已配置好对应的网关和短信模板
--针对”对未通过密码强度检测的用户进行强制处理”已配置好对应的网关和短信模板“
--针对”定时强制修改密码”已配置好对应的网关和短信模板“
5、未获取到用户手机号"
67002,,是,1.用户1x无线认证成功,1.用户1x无线首次登录，密码为Rui12345,配置组三个按钮开启/关闭的组合-首次用户登录,首次登录+符合密码策略+关闭首次登录用户强制修改密码+开启对未通过密码强度检测的用户进行强制处理（返回认证失败+短信通知）+开启定时强制修改密码+开启提前短信通知(在定时期间未达提醒时间）,"1、用户1X无线首次登录，符合密码策略，定时强制修改密码常开(在定时期间未达提醒时间）
2、用户1x无线认证成功",RG-UNC-dot1x密码复杂度-TP-018,dot1x密码复杂度/认证组合-首次登录,首次登录-符合策略-强度检测强制开+定时强制开-调用配置接口设策略-触发1x认证-断言认证成功,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，关闭「首次登录用户强制修改密码」按钮
4. 调用密码安全管理配置接口，开启「对未通过密码强度检测的用户进行强制处理」按钮，强制处理方式设为""返回认证失败+短信通知""
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
6. 调用用户管理接口，创建测试用户并设置符合密码策略的密码（如 Rui12345?，含大写+小写+数字+特殊字符）
7. 调用模拟认证接口，触发用户首次1x有线认证
8. 调用认证日志查询接口，断言认证成功
9. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母为大写字母、小写字母、长度3-30、数字，
2、关闭首次登录用户强制修改密码、开启未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知
3、--针对”对未通过密码强度检测的用户进行强制处理”返回认证失败+短信通知“
4、针对”对未通过密码强度检测的用户进行强制处理”已配置好对应的网关和短信模板“"
67003,,是,"1.用户1x无线认证失败，
---用户无法收到”未通过强度检测用户处理“的短信通知
2.在认证失败日志看到用户认证失败原因为：“用户未通过密码强度检测","1.用户1x无线首次登录，密码为R123？？
2.查看认证失败日志",配置组三个按钮开启/关闭的组合-首次用户登录,首次登录+不符合密码策略+关闭首次登录用户强制修改密码+开启对未通过密码强度检测的用户进行强制处理（返回认证失败+短信通知、没有配置好网关及短信模板）+开启定时强制修改密码+开启提前短信通知(在定时期间未达提醒时间）,"1、用户1X无线首次登录，不符合密码策略，定时强制修改密码常开(在定时期间未达提醒时间）
2、用户无法收到”未通过强度检测用户处理“的短信通知",RG-UNC-dot1x密码复杂度-TP-019,dot1x密码复杂度/认证组合-首次登录,首次登录-不符合策略-强度检测强制开+定时强制开-调用配置接口设策略-触发1x认证-断言认证失败-未通过密码强度检测,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，关闭「首次登录用户强制修改密码」按钮
4. 调用密码安全管理配置接口，开启「对未通过密码强度检测的用户进行强制处理」按钮，强制处理方式设为""返回认证失败""
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败""
6. 调用用户管理接口，创建测试用户并设置不符合密码策略的密码（如 rui12345，不含大写字母和特殊字符）
7. 调用模拟认证接口，触发用户首次1x有线认证
8. 调用认证日志查询接口，断言认证失败
9. 调用认证失败日志查询接口，断言失败原因包含「未通过密码强度检测」
10. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，
2、关闭首次登录用户强制修改密码、开启未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知
3.针对”对未通过密码强度检测的用户进行强制处理开启“选择”返回认证失败+短信通知“
4.针对”对未通过密码强度检测的用户进行强制处理开启“没有配置好对应的网关和短信模板"
67004,,是,"1.用户1x有线认证失败
2.在认证失败日志看到用户认证失败原因为：用户首次登录需修改密码","1.用户1x有线首次登录认证，密码为rui1234567891111
2.查看认证失败日志",配置组三个按钮开启/关闭的组合-首次用户登录,首次登录+符合密码策略+开启首次登录用户强制修改密码+关闭对未通过密码强度监测的用户进行强制处理+开启定时强制密码修改+开启提前短信通知(在定时期间未达提醒时间）,"1、用户1X有线首次登录，符合密码策略，定时强制修改密码常开(在定时期间未达提醒时间）
2、用户1x有线认证失败",RG-UNC-dot1x密码复杂度-TP-020,dot1x密码复杂度/认证组合-首次登录,首次登录-符合策略-首次登录强制开+定时强制开-调用配置接口设策略-触发1x认证-断言认证失败-用户首次登录需修改密码,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，开启「首次登录用户强制修改密码」按钮，强制处理方式设为""返回认证失败""
4. 调用密码安全管理配置接口，关闭「对未通过密码强度检测的用户进行强制处理」按钮
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败""
6. 调用用户管理接口，创建测试用户并设置符合密码策略的密码（如 Rui12345?，含大写+小写+数字+特殊字符）
7. 调用模拟认证接口，触发用户首次1x有线认证
8. 调用认证日志查询接口，断言认证失败
9. 调用认证失败日志查询接口，断言失败原因包含「用户首次登录需修改密码」
10. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含小写字母、长度3-30、数字，
2、开启首次登录用户强制修改密码、关闭未通过密码强度检测的用户强制修改密码、开启定时强制修改密码，开启提前短信通知"
